InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,SalesAmount,InvoiceMonth,IsReturn
545895,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",2,2011-03-07 17:14:00,1.63,,United Kingdom,3.26,2011-03,False
541421,85131D,BEADED CRYSTAL HEART PINK ON STICK,10,2011-01-17 17:44:00,0.83,,United Kingdom,8.299999999999999,2011-01,False
541509,22212,FOUR HOOK  WHITE LOVEBIRDS,1,2011-01-18 16:31:00,2.1,13263.0,United Kingdom,2.1,2011-01,False
546421,84596F,SMALL MARSHMALLOWS PINK BOWL,16,2011-03-13 11:21:00,0.42,13700.0,United Kingdom,6.72,2011-03,False
552039,22644,CERAMIC CHERRY CAKE MONEY BANK,12,2011-05-06 08:10:00,1.45,13081.0,United Kingdom,17.4,2011-05,False
547772,22417,PACK OF 60 SPACEBOY CAKE CASES,1,2011-03-25 11:34:00,0.55,17979.0,United Kingdom,0.55,2011-03,False
559132,20981,12 PENCILS TALL TUBE WOODLAND,6,2011-07-06 13:06:00,0.85,15053.0,United Kingdom,5.1,2011-07,False
569214,16219,HOUSE SHAPE PENCIL SHARPENER,288,2011-10-02 12:22:00,0.06,14533.0,United Kingdom,17.28,2011-10,False
544599,21775,DECORATIVE FLORE BATHROOM BOTTLE,1,2011-02-21 18:15:00,2.46,,United Kingdom,2.46,2011-02,False
579196,20728,LUNCH BAG CARS BLUE,1,2011-11-28 15:54:00,4.13,14096.0,United Kingdom,4.13,2011-11,False
557430,47566,PARTY BUNTING,100,2011-06-20 12:27:00,3.75,16013.0,United Kingdom,375.0,2011-06,False
536763,21801,CHRISTMAS TREE DECORATION WITH BELL,36,2010-12-02 14:42:00,0.42,17685.0,United Kingdom,15.12,2010-12,False
581217,22643,SET OF 4 NAPKIN CHARMS LEAVES,2,2011-12-08 09:20:00,4.96,,United Kingdom,9.92,2011-12,False
547886,22621,TRADITIONAL KNITTING NANCY,12,2011-03-28 09:21:00,1.45,13652.0,United Kingdom,17.4,2011-03,False
571713,21902,"KEY FOB , FRONT  DOOR",1,2011-10-18 16:58:00,1.63,,United Kingdom,1.63,2011-10,False
545340,22854,CREAM SWEETHEART EGG HOLDER,4,2011-03-02 08:41:00,4.95,15416.0,United Kingdom,19.8,2011-03,False
580115,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,1,2011-12-01 16:22:00,8.29,,United Kingdom,8.29,2011-12,False
576590,22187,GREEN CHRISTMAS TREE CARD HOLDER,12,2011-11-15 14:30:00,1.95,16240.0,United Kingdom,23.4,2011-11,False
552670,85049d,BRIGHT BLUES RIBBONS,1,2011-05-10 15:06:00,2.46,,United Kingdom,2.46,2011-05,False
566281,84950,ASSORTED COLOUR T-LIGHT HOLDER,12,2011-09-11 14:15:00,0.65,12748.0,United Kingdom,7.800000000000001,2011-09,False
576840,21544,SKULLS  WATER TRANSFER TATTOOS,4,2011-11-16 15:23:00,1.63,,United Kingdom,6.52,2011-11,False
580094,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2,2011-12-01 14:50:00,2.95,15904.0,United Kingdom,5.9,2011-12,False
540849,21756,BATH BUILDING BLOCK WORD,3,2011-01-12 09:33:00,5.95,14270.0,United Kingdom,17.85,2011-01,False
581217,23285,PINK VINTAGE SPOT BEAKER,2,2011-12-08 09:20:00,1.63,,United Kingdom,3.26,2011-12,False
568719,90214H,"LETTER ""H"" BLING KEY RING",1,2011-09-28 16:19:00,0.83,,United Kingdom,0.83,2011-09,False
540692,21175,GIN + TONIC DIET METAL SIGN,12,2011-01-11 09:12:00,2.1,14320.0,United Kingdom,25.200000000000003,2011-01,False
542607,22881,NUMBER TILE VINTAGE FONT 2,1,2011-01-30 13:48:00,1.95,13148.0,United Kingdom,1.95,2011-01,False
576617,18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,4,2011-11-15 16:57:00,4.96,,United Kingdom,19.84,2011-11,False
547240,22488,NATURAL SLATE RECTANGLE CHALKBOARD,2,2011-03-21 16:32:00,1.65,17585.0,United Kingdom,3.3,2011-03,False
571508,23295,SET OF 12 MINI LOAF BAKING CASES,3,2011-10-17 15:27:00,0.83,,United Kingdom,2.4899999999999998,2011-10,False
555851,21165,BEWARE OF THE CAT METAL SIGN,2,2011-06-07 13:37:00,1.69,13050.0,United Kingdom,3.38,2011-06,False
575983,22094,RED RETROSPOT TISSUE BOX,1,2011-11-13 13:45:00,0.39,13379.0,United Kingdom,0.39,2011-11,False
541489,22113,GREY HEART HOT WATER BOTTLE,2,2011-01-18 13:38:00,3.75,15023.0,United Kingdom,7.5,2011-01,False
539324,22536,MAGIC DRAWING SLATE PURDEY,2,2010-12-16 19:51:00,0.42,14985.0,United Kingdom,0.84,2010-12,False
581405,22111,SCOTTIE DOG HOT WATER BOTTLE,1,2011-12-08 13:50:00,4.95,13521.0,United Kingdom,4.95,2011-12,False
542667,21034,REX CASH+CARRY JUMBO SHOPPER,3,2011-01-31 12:16:00,0.95,17068.0,United Kingdom,2.8499999999999996,2011-01,False
575039,82581,TOILET METAL SIGN,6,2011-11-08 11:53:00,0.55,15005.0,United Kingdom,3.3000000000000003,2011-11,False
568491,23129,HEART SHAPED HOLLY WREATH,6,2011-09-27 11:58:00,4.15,15443.0,United Kingdom,24.900000000000002,2011-09,False
572677,22979,PANTRY WASHING UP BRUSH,1,2011-10-25 13:46:00,1.45,17596.0,United Kingdom,1.45,2011-10,False
572319,22733,3D TRADITIONAL CHRISTMAS STICKERS,3,2011-10-23 16:19:00,1.25,14704.0,United Kingdom,3.75,2011-10,False
556428,22386,JUMBO BAG PINK POLKADOT,5,2011-06-10 13:23:00,4.13,,United Kingdom,20.65,2011-06,False
572732,21504,SKULLS GREETING CARD,24,2011-10-25 15:21:00,0.42,18079.0,United Kingdom,10.08,2011-10,False
548616,22561,WOODEN SCHOOL COLOURING SET,12,2011-04-01 11:48:00,1.65,18263.0,United Kingdom,19.799999999999997,2011-04,False
569692,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2011-10-05 15:17:00,0.65,14389.0,United Kingdom,10.4,2011-10,False
C572226,23256,CHILDRENS CUTLERY SPACEBOY,-2,2011-10-21 13:58:00,4.15,15321.0,United Kingdom,-8.3,2011-10,True
575938,21248,DOOR HANGER  MUM + DADS ROOM,3,2011-11-13 11:30:00,1.45,17790.0,United Kingdom,4.35,2011-11,False
577297,23215,JINGLE BELL HEART ANTIQUE SILVER,1,2011-11-18 12:48:00,2.08,14593.0,United Kingdom,2.08,2011-11,False
538488,21355,TOAST ITS - I LOVE YOU,6,2010-12-12 12:41:00,1.25,13715.0,United Kingdom,7.5,2010-12,False
537629,21889,WOODEN BOX OF DOMINOES,12,2010-12-07 15:03:00,1.25,17419.0,United Kingdom,15.0,2010-12,False
563572,21992,VINTAGE PAISLEY STATIONERY SET,3,2011-08-17 15:00:00,1.25,16734.0,United Kingdom,3.75,2011-08,False
537441,22867,HAND WARMER BIRD DESIGN,3,2010-12-06 17:26:00,2.1,13564.0,United Kingdom,6.300000000000001,2010-12,False
578954,23320,GIANT 50'S CHRISTMAS CRACKER,2,2011-11-27 15:02:00,2.89,15054.0,United Kingdom,5.78,2011-11,False
550035,15058C,ICE CREAM DESIGN GARDEN PARASOL,2,2011-04-14 11:48:00,7.95,15039.0,United Kingdom,15.9,2011-04,False
571257,21992,VINTAGE PAISLEY STATIONERY SET,1,2011-10-14 17:17:00,2.46,,United Kingdom,2.46,2011-10,False
543166,22852,DOG BOWL VINTAGE CREAM,4,2011-02-04 08:27:00,4.25,13488.0,United Kingdom,17.0,2011-02,False
539297,21485,RETROSPOT HEART HOT WATER BOTTLE,3,2010-12-16 17:20:00,4.95,17691.0,United Kingdom,14.850000000000001,2010-12,False
575477,23084,RABBIT NIGHT LIGHT,19,2011-11-09 16:14:00,4.13,,United Kingdom,78.47,2011-11,False
539735,18098c,PORCELAIN BUTTERFLY OIL BURNER,2,2010-12-21 15:17:00,5.06,,United Kingdom,10.12,2010-12,False
576889,85199S,SMALL HANGING IVORY/RED WOOD BIRD,2,2011-11-16 17:24:00,0.42,12748.0,United Kingdom,0.84,2011-11,False
563555,22207,FRYING PAN UNION FLAG,1,2011-08-17 13:21:00,4.25,16755.0,United Kingdom,4.25,2011-08,False
562717,21194,PINK  HONEYCOMB PAPER FAN,3,2011-08-08 15:42:00,4.13,,United Kingdom,12.39,2011-08,False
545333,21936,RED RETROSPOT PICNIC BAG,1,2011-03-01 16:22:00,5.79,,United Kingdom,5.79,2011-03,False
578365,21843,RED RETROSPOT CAKE STAND,72,2011-11-24 10:46:00,4.0,15482.0,United Kingdom,288.0,2011-11,False
573915,85025B,EAU DE NILE HEART SHAPE PHOTO FRAME,1,2011-11-01 15:55:00,1.65,15511.0,United Kingdom,1.65,2011-11,False
560089,22611,VINTAGE UNION JACK SHOPPING BAG,1,2011-07-14 16:45:00,4.95,12748.0,United Kingdom,4.95,2011-07,False
572688,22356,CHARLOTTE BAG PINK POLKADOT,10,2011-10-25 14:09:00,0.85,13028.0,United Kingdom,8.5,2011-10,False
566871,23420,PANTRY HOOK TEA STRAINER,12,2011-09-15 13:27:00,2.08,17047.0,United Kingdom,24.96,2011-09,False
578519,20727,LUNCH BAG  BLACK SKULL.,1,2011-11-24 13:56:00,1.65,14591.0,United Kingdom,1.65,2011-11,False
541830,22534,MAGIC DRAWING SLATE SPACEBOY,6,2011-01-21 17:09:00,0.83,,United Kingdom,4.9799999999999995,2011-01,False
547496,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2011-03-23 12:13:00,0.85,18075.0,United Kingdom,10.2,2011-03,False
547909,22403,MAGNETS PACK OF 4 VINTAGE LABELS,1,2011-03-28 12:22:00,1.25,15033.0,United Kingdom,1.25,2011-03,False
543306,22433,WATERING CAN GREEN DINOSAUR,1,2011-02-07 11:56:00,1.95,16686.0,United Kingdom,1.95,2011-02,False
578666,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,6,2011-11-24 17:06:00,2.1,17727.0,United Kingdom,12.600000000000001,2011-11,False
567665,35810A,ENAMEL PINK COFFEE CONTAINER,1,2011-09-21 15:22:00,2.46,,United Kingdom,2.46,2011-09,False
569836,23206,LUNCH BAG APPLE DESIGN,20,2011-10-06 13:06:00,1.65,12910.0,United Kingdom,33.0,2011-10,False
556413,22382,LUNCH BAG SPACEBOY DESIGN,1,2011-06-10 12:01:00,1.65,16005.0,United Kingdom,1.65,2011-06,False
C567440,22424,ENAMEL BREAD BIN CREAM,-1,2011-09-20 11:58:00,12.75,17841.0,United Kingdom,-12.75,2011-09,True
559024,22583,PACK OF 6 HANDBAG GIFT BOXES,6,2011-07-05 13:38:00,2.55,16616.0,United Kingdom,15.299999999999999,2011-07,False
548484,21926,RED/CREAM STRIPE CUSHION COVER,2,2011-03-31 12:43:00,1.25,13571.0,United Kingdom,2.5,2011-03,False
564336,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,4,2011-08-24 14:28:00,0.39,12748.0,United Kingdom,1.56,2011-08,False
576372,23356,LOVE HOT WATER BOTTLE,12,2011-11-15 08:32:00,5.95,15144.0,United Kingdom,71.4,2011-11,False
560448,22294,HEART FILIGREE DOVE  SMALL,24,2011-07-19 09:29:00,1.25,12840.0,United Kingdom,30.0,2011-07,False
559914,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,1,2011-07-13 15:13:00,7.46,,United Kingdom,7.46,2011-07,False
552514,21397,BLUE POLKADOT EGG CUP,6,2011-05-09 16:30:00,1.63,,United Kingdom,9.78,2011-05,False
577358,22074,6 RIBBONS SHIMMERING PINKS,4,2011-11-18 15:59:00,1.25,,United Kingdom,5.0,2011-11,False
560271,21581,SKULLS  DESIGN  COTTON TOTE BAG,13,2011-07-17 14:51:00,2.25,16474.0,United Kingdom,29.25,2011-07,False
563071,23199,JUMBO BAG APPLES,10,2011-08-11 15:43:00,2.08,17633.0,United Kingdom,20.8,2011-08,False
542381,21754,HOME BUILDING BLOCK WORD,3,2011-01-27 14:07:00,5.95,17213.0,United Kingdom,17.85,2011-01,False
541104,37500,TEA TIME TEAPOT IN GIFT BOX,1,2011-01-13 14:29:00,20.79,,United Kingdom,20.79,2011-01,False
576070,23300,GARDENERS KNEELING PAD CUP OF TEA,4,2011-11-13 15:58:00,1.65,13451.0,United Kingdom,6.6,2011-11,False
556067,21189,WHITE HONEYCOMB PAPER GARLAND,8,2011-06-08 14:35:00,1.65,12748.0,United Kingdom,13.2,2011-06,False
560433,84568,GIRLS ALPHABET IRON ON PATCHES,6,2011-07-18 15:49:00,0.42,,United Kingdom,2.52,2011-07,False
575846,22818,CARD CHRISTMAS VILLAGE,36,2011-11-11 12:07:00,0.42,17364.0,United Kingdom,15.12,2011-11,False
581236,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-12-08 10:39:00,2.95,13468.0,United Kingdom,17.700000000000003,2011-12,False
566489,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-09-13 10:17:00,1.25,16814.0,United Kingdom,15.0,2011-09,False
575856,21034,REX CASH+CARRY JUMBO SHOPPER,2,2011-11-11 12:28:00,0.95,16386.0,United Kingdom,1.9,2011-11,False
577723,21165,BEWARE OF THE CAT METAL SIGN,2,2011-11-21 12:36:00,1.69,16713.0,United Kingdom,3.38,2011-11,False
575318,20668,DISCO BALL CHRISTMAS DECORATION,24,2011-11-09 13:17:00,0.12,14921.0,United Kingdom,2.88,2011-11,False
549906,21260,FIRST AID TIN,1,2011-04-12 16:28:00,3.25,14998.0,United Kingdom,3.25,2011-04,False
560271,18094C,WHITE AND BLUE CERAMIC OIL BURNER,2,2011-07-17 14:51:00,1.25,16474.0,United Kingdom,2.5,2011-07,False
565407,21222,SET/4 BADGES BEETLES,2,2011-09-04 11:00:00,1.25,16983.0,United Kingdom,2.5,2011-09,False
550532,21713,CITRONELLA CANDLE FLOWERPOT,1,2011-04-19 11:02:00,2.1,14606.0,United Kingdom,2.1,2011-04,False
538177,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,2,2010-12-10 09:51:00,1.66,,United Kingdom,3.32,2010-12,False
542227,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-01-26 13:33:00,0.55,14243.0,United Kingdom,13.200000000000001,2011-01,False
556108,35916B,BLUE FELT HANGING HEART WITH FLOWER,2,2011-06-08 17:59:00,0.63,,United Kingdom,1.26,2011-06,False
552724,22029,SPACEBOY BIRTHDAY CARD,12,2011-05-11 10:29:00,0.42,13418.0,United Kingdom,5.04,2011-05,False
575607,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,3,2011-11-10 12:37:00,6.63,14096.0,United Kingdom,19.89,2011-11,False
550016,22707,WRAP MONSTER FUN,25,2011-04-14 10:54:00,0.42,15416.0,United Kingdom,10.5,2011-04,False
575875,22326,ROUND SNACK BOXES SET OF4 WOODLAND,4,2011-11-11 13:06:00,5.79,,United Kingdom,23.16,2011-11,False
560895,71459,HANGING JAM JAR T-LIGHT HOLDER,36,2011-07-21 17:12:00,0.85,13089.0,United Kingdom,30.599999999999998,2011-07,False
538635,17021,NAMASTE SWAGAT INCENSE,12,2010-12-13 13:32:00,0.3,17303.0,United Kingdom,3.5999999999999996,2010-12,False
559342,23065,LARGE DECO JEWELLERY STAND,3,2011-07-07 16:59:00,12.5,14493.0,United Kingdom,37.5,2011-07,False
562158,23298,SPOTTY BUNTING,3,2011-08-03 11:45:00,4.95,15039.0,United Kingdom,14.850000000000001,2011-08,False
581492,21900,"KEY FOB , SHED",4,2011-12-09 10:03:00,1.63,,United Kingdom,6.52,2011-12,False
569561,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,24,2011-10-05 09:42:00,0.85,13468.0,United Kingdom,20.4,2011-10,False
559056,21094,SET/6 RED SPOTTY PAPER PLATES,12,2011-07-06 09:15:00,0.85,14645.0,United Kingdom,10.2,2011-07,False
578954,22633,HAND WARMER UNION JACK,1,2011-11-27 15:02:00,2.1,15054.0,United Kingdom,2.1,2011-11,False
539631,21328,BALLOONS  WRITING SET,1,2010-12-20 15:03:00,3.36,,United Kingdom,3.36,2010-12,False
C575940,23309,SET OF 60 I LOVE LONDON CAKE CASES,-24,2011-11-13 11:38:00,0.55,17838.0,United Kingdom,-13.200000000000001,2011-11,True
565790,23189,SET OF 12 FORK CANDLES,48,2011-09-07 09:15:00,2.49,16767.0,United Kingdom,119.52000000000001,2011-09,False
545425,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-03-02 14:39:00,2.95,16792.0,United Kingdom,8.850000000000001,2011-03,False
C553031,21240,BLUE POLKADOT CUP,-3,2011-05-12 19:43:00,0.85,13908.0,United Kingdom,-2.55,2011-05,True
568591,35970,ZINC FOLKART SLEIGH BELLS,12,2011-09-28 10:39:00,1.69,17088.0,United Kingdom,20.28,2011-09,False
566060,84923,PINK BUTTERFLY HANDBAG W BOBBLES,1,2011-09-08 15:27:00,4.13,,United Kingdom,4.13,2011-09,False
580727,22720,SET OF 3 CAKE TINS PANTRY DESIGN,5,2011-12-05 17:17:00,10.79,14096.0,United Kingdom,53.949999999999996,2011-12,False
544666,85152,HAND OVER THE CHOCOLATE   SIGN,3,2011-02-22 15:00:00,2.1,16907.0,United Kingdom,6.300000000000001,2011-02,False
569414,22735,RIBBON REEL SOCKS AND MITTENS,1,2011-10-04 10:11:00,4.13,,United Kingdom,4.13,2011-10,False
564230,21154,RED RETROSPOT OVEN GLOVE,4,2011-08-24 10:22:00,3.29,,United Kingdom,13.16,2011-08,False
563111,20725,LUNCH BAG RED RETROSPOT,20,2011-08-12 11:08:00,1.65,15249.0,United Kingdom,33.0,2011-08,False
569383,22115,METAL SIGN EMPIRE TEA,12,2011-10-03 16:46:00,0.79,15159.0,United Kingdom,9.48,2011-10,False
577804,23570,TRADITIONAL PICK UP STICKS GAME,1,2011-11-21 17:33:00,1.25,17432.0,United Kingdom,1.25,2011-11,False
556784,22750,FELTCRAFT PRINCESS LOLA DOLL,2,2011-06-14 13:15:00,3.75,14461.0,United Kingdom,7.5,2011-06,False
579516,22104,MIRROR MOSAIC CANDLE PLATE,1,2011-11-29 17:52:00,1.45,17841.0,United Kingdom,1.45,2011-11,False
559328,23188,VINTAGE  2 METER FOLDING RULER,12,2011-07-07 15:31:00,1.65,13743.0,United Kingdom,19.799999999999997,2011-07,False
543826,22652,TRAVEL SEWING KIT,1,2011-02-14 09:41:00,3.29,,United Kingdom,3.29,2011-02,False
544444,22972,CHILDREN'S SPACEBOY MUG,6,2011-02-20 10:51:00,1.65,13246.0,United Kingdom,9.899999999999999,2011-02,False
566290,22280,POCKET BAG PINK PAISELY BROWN SPOT,1,2011-09-11 15:24:00,1.25,14456.0,United Kingdom,1.25,2011-09,False
556282,72232,FENG SHUI PILLAR CANDLE,48,2011-06-10 08:24:00,0.19,15679.0,United Kingdom,9.120000000000001,2011-06,False
554694,20972,PINK CREAM FELT CRAFT TRINKET BOX,1,2011-05-25 17:06:00,2.46,,United Kingdom,2.46,2011-05,False
538524,90005A,JADE GREEN ENAMEL HAIR COMB,2,2010-12-13 09:35:00,1.95,,United Kingdom,3.9,2010-12,False
558751,84988,SET OF 72 PINK HEART PAPER DOILIES,3,2011-07-03 11:26:00,1.45,16009.0,United Kingdom,4.35,2011-07,False
575337,20712,JUMBO BAG WOODLAND ANIMALS,1,2011-11-09 14:11:00,2.08,17867.0,United Kingdom,2.08,2011-11,False
578827,22230,JIGSAW TREE WITH WATERING CAN,2,2011-11-25 14:25:00,1.63,,United Kingdom,3.26,2011-11,False
576463,22745,POPPY'S PLAYHOUSE BEDROOM,1,2011-11-15 11:37:00,2.1,17974.0,United Kingdom,2.1,2011-11,False
573338,23330,DECORATIVE WICKER HEART MEDIUM,2,2011-10-30 11:47:00,1.25,14546.0,United Kingdom,2.5,2011-10,False
577754,22938,CUPCAKE LACE PAPER SET 6,48,2011-11-21 14:47:00,1.65,18139.0,United Kingdom,79.19999999999999,2011-11,False
571717,21992,VINTAGE PAISLEY STATIONERY SET,1,2011-10-18 17:10:00,1.25,14381.0,United Kingdom,1.25,2011-10,False
554808,21166,COOK WITH WINE METAL SIGN,1,2011-05-26 13:01:00,2.08,17059.0,United Kingdom,2.08,2011-05,False
548663,35809a,ENAMEL PINK TEA CONTAINER,1,2011-04-01 14:44:00,4.13,,United Kingdom,4.13,2011-04,False
559981,23313,VINTAGE CHRISTMAS BUNTING,8,2011-07-14 11:30:00,4.95,14562.0,United Kingdom,39.6,2011-07,False
558475,21801,CHRISTMAS TREE DECORATION WITH BELL,1,2011-06-29 15:58:00,0.42,,United Kingdom,0.42,2011-06,False
572858,22412,METAL SIGN NEIGHBOURHOOD WITCH,2,2011-10-26 12:36:00,2.1,13571.0,United Kingdom,4.2,2011-10,False
550499,22887,NUMBER TILE VINTAGE FONT 8,1,2011-04-18 15:16:00,4.13,,United Kingdom,4.13,2011-04,False
549789,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2011-04-12 12:00:00,3.75,17160.0,United Kingdom,15.0,2011-04,False
551160,20981,12 PENCILS TALL TUBE WOODLAND,12,2011-04-26 15:04:00,0.85,15237.0,United Kingdom,10.2,2011-04,False
571040,22432,WATERING CAN PINK BUNNY,2,2011-10-13 12:59:00,1.95,15272.0,United Kingdom,3.9,2011-10,False
581376,22866,HAND WARMER SCOTTY DOG DESIGN,6,2011-12-08 12:43:00,2.1,14719.0,United Kingdom,12.600000000000001,2011-12,False
537399,21328,BALLOONS  WRITING SET,3,2010-12-06 14:31:00,1.65,13030.0,United Kingdom,4.949999999999999,2010-12,False
566039,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2011-09-08 13:38:00,0.55,14223.0,United Kingdom,13.200000000000001,2011-09,False
566400,23329,DECORATIVE WICKER HEART LARGE,12,2011-09-12 13:16:00,1.65,17139.0,United Kingdom,19.799999999999997,2011-09,False
553675,21713,CITRONELLA CANDLE FLOWERPOT,8,2011-05-18 12:52:00,2.1,13719.0,United Kingdom,16.8,2011-05,False
562843,22697,GREEN REGENCY TEACUP AND SAUCER,2,2011-08-09 17:37:00,5.79,,United Kingdom,11.58,2011-08,False
555865,23092,LARGE ANTIQUE WHITE PHOTO FRAME,2,2011-06-07 14:30:00,7.9,14530.0,United Kingdom,15.8,2011-06,False
580360,90119,METALIC LEAVES BAG CHARMS,6,2011-12-02 16:14:00,2.55,14493.0,United Kingdom,15.299999999999999,2011-12,False
579777,22178,VICTORIAN GLASS HANGING T-LIGHT,1,2011-11-30 15:13:00,2.46,,United Kingdom,2.46,2011-11,False
564818,22197,POPCORN HOLDER,2,2011-08-30 12:10:00,1.63,,United Kingdom,3.26,2011-08,False
577331,22229,BUNNY WOODEN PAINTED WITH FLOWER,2,2011-11-18 14:23:00,0.39,14667.0,United Kingdom,0.78,2011-11,False
550470,84006,MAGIC TREE -PAPER FLOWERS,1,2011-04-18 13:49:00,1.63,,United Kingdom,1.63,2011-04,False
546729,22720,SET OF 3 CAKE TINS PANTRY DESIGN,4,2011-03-16 11:36:00,4.95,18231.0,United Kingdom,19.8,2011-03,False
566787,22900,SET 2 TEA TOWELS I LOVE LONDON,1,2011-09-15 10:31:00,4.13,,United Kingdom,4.13,2011-09,False
537240,22135,LADLE LOVE HEART PINK,1,2010-12-06 10:08:00,0.85,,United Kingdom,0.85,2010-12,False
546522,22328,ROUND SNACK BOXES SET OF 4 FRUITS,6,2011-03-14 12:41:00,2.95,13319.0,United Kingdom,17.700000000000003,2011-03,False
550348,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-04-18 09:38:00,1.69,16947.0,United Kingdom,27.04,2011-04,False
570011,23313,VINTAGE CHRISTMAS BUNTING,5,2011-10-07 09:44:00,4.95,16477.0,United Kingdom,24.75,2011-10,False
564825,21003,ROSE DU SUD CUSHION COVER,1,2011-08-30 12:26:00,5.79,,United Kingdom,5.79,2011-08,False
549436,21654,RIDGED GLASS FINGER BOWL,2,2011-04-08 12:34:00,0.39,18041.0,United Kingdom,0.78,2011-04,False
581492,22379,RECYCLING BAG RETROSPOT,1,2011-12-09 10:03:00,4.13,,United Kingdom,4.13,2011-12,False
537209,17003,BROCADE RING PURSE,3,2010-12-05 15:12:00,0.21,14606.0,United Kingdom,0.63,2010-12,False
546321,22465,HANGING METAL STAR LANTERN,12,2011-03-11 09:39:00,1.65,16475.0,United Kingdom,19.799999999999997,2011-03,False
538067,22963,JAM JAR WITH GREEN LID,6,2010-12-09 13:59:00,0.85,15288.0,United Kingdom,5.1,2010-12,False
554991,22470,HEART OF WICKER LARGE,1,2011-05-29 14:03:00,2.95,14823.0,United Kingdom,2.95,2011-05,False
548259,22443,GROW YOUR OWN HERBS SET OF 3,1,2011-03-30 11:12:00,7.95,14099.0,United Kingdom,7.95,2011-03,False
571653,22219,LOVEBIRD HANGING DECORATION WHITE,24,2011-10-18 12:17:00,0.72,14298.0,United Kingdom,17.28,2011-10,False
543122,21041,RED RETROSPOT OVEN GLOVE DOUBLE,6,2011-02-03 14:01:00,2.95,13819.0,United Kingdom,17.700000000000003,2011-02,False
